id,claim_type,policy_category,city,city_region,estimated_amount_pkr,description_length,days_incident_to_submit,amount_to_premium_ratio,user_claims_7d,user_claims_30d,user_rejected_claims,status,high_risk
1771,pet,pet,abbottabad,kpk,9741,45,0,0.715,0,2,0,approved,0
1772,auto,auto,faisalabad,punjab,23742,56,15,1.2668,1,6,2,in_review,1
1773,accident,life,multan,punjab,29333,64,5,2.535,0,0,0,approved,0
1774,auto,auto,lahore,punjab,26660,56,20,8.3365,0,2,0,submitted,0
1775,damage,home,rawalpindi,punjab,13300,45,26,0.5479,1,5,0,approved,0
1776,pet_care,pet,quetta,balochistan,21352,58,27,1.9182,0,4,0,approved,0
1777,life,life,islamabad,islamabad,115060,64,2,20.1295,1,4,0,in_review,1
1778,theft,auto,abbottabad,kpk,19640,64,8,7.5048,0,2,0,approved,0
1779,home,home,sialkot,punjab,38973,45,23,3.0334,0,6,0,submitted,0
1780,auto,auto,multan,punjab,9219,64,15,0.4341,0,0,0,submitted,0
1781,pet_care,pet,gujranwala,punjab,13884,61,18,2.5995,0,1,1,approved,0
1782,pet,pet,islamabad,islamabad,13074,64,8,0.6765,1,5,0,approved,0
1783,other,life,faisalabad,punjab,12126,53,19,0.8648,2,7,0,approved,0
1784,accident,auto,peshawar,kpk,5346,64,16,0.3173,1,7,0,in_review,1
1785,other,others,hyderabad,sindh,25732,45,21,8.8915,1,5,0,submitted,0
1786,pet_care,pet,faisalabad,punjab,6321,45,3,1.4016,0,2,0,approved,0
1787,auto,auto,rawalpindi,punjab,8725,64,12,0.3783,0,3,1,approved,0
1788,accident,life,multan,punjab,15651,44,11,0.7389,0,5,0,submitted,0
1789,damage,home,faisalabad,punjab,39503,45,23,2.4625,2,6,0,approved,0
1790,life,life,karachi,sindh,125582,61,10,21.5259,3,5,1,submitted,0
1791,theft,auto,lahore,punjab,6751,58,29,1.1739,0,3,0,submitted,1
1792,accident,life,multan,punjab,24949,64,26,8.7234,0,1,1,approved,0
1793,auto,auto,islamabad,islamabad,38590,53,0,21.9012,1,5,0,submitted,0
1794,medical,life,rawalpindi,punjab,12864,56,10,0.9561,1,7,2,in_review,1
1795,other,life,multan,punjab,42394,64,12,8.1952,0,5,0,submitted,1
1796,life,life,islamabad,islamabad,34778,56,20,1.97,0,2,1,approved,0
1797,pet_care,pet,multan,punjab,5000,45,20,0.2727,1,5,0,approved,0
1798,pet_care,pet,quetta,balochistan,9983,56,27,0.8104,1,6,0,approved,0
1799,accident,life,mardan,kpk,24295,61,25,1.6361,0,3,1,approved,0
1800,life,life,gujranwala,punjab,120673,61,13,7.4448,0,1,0,approved,0
1801,home,home,faisalabad,punjab,16013,45,23,1.1629,0,6,0,approved,0
1802,life,life,sialkot,punjab,28306,53,6,4.9443,1,3,0,submitted,0
1803,pet_care,pet,multan,punjab,16238,58,30,3.4697,1,3,1,in_review,0
1804,theft,auto,karachi,sindh,42250,61,6,3.7254,0,0,0,approved,0
1805,other,pet,gujranwala,punjab,35869,64,17,1.6266,0,3,0,approved,0
1806,life,life,quetta,balochistan,65559,45,0,14.8795,1,2,0,approved,0
1807,medical,life,islamabad,islamabad,113667,53,15,18.3127,1,2,0,approved,0
1808,pet_care,pet,rawalpindi,punjab,24185,56,24,1.217,2,8,2,in_review,1
1809,other,auto,gujranwala,punjab,6979,56,19,1.009,0,4,1,approved,0
1810,medical,life,lahore,punjab,7251,44,5,0.3563,0,1,3,rejected,1
1811,other,others,rawalpindi,punjab,15011,64,2,0.7006,2,7,0,approved,0
1812,life,life,karachi,sindh,135772,53,6,6.7464,0,0,1,approved,0
1813,medical,life,abbottabad,kpk,7206,56,20,1.0968,2,5,0,approved,0
1814,theft,auto,mardan,kpk,24381,61,12,1.3479,3,8,2,rejected,1
1815,medical,auto,lahore,punjab,44605,64,19,4.7962,0,4,1,approved,0
1816,accident,life,quetta,balochistan,22577,58,28,0.914,0,5,0,submitted,0
1817,home,home,karachi,sindh,30183,64,29,1.8452,2,5,2,approved,0
1818,auto,auto,quetta,balochistan,36429,61,27,2.0063,2,8,0,approved,0
1819,other,pet,gujranwala,punjab,33324,45,6,2.8186,0,1,3,in_review,1
1820,life,life,islamabad,islamabad,113074,61,29,5.359,0,5,0,approved,0
1821,pet_care,pet,rawalpindi,punjab,20834,56,6,1.3741,0,1,3,rejected,1
1822,damage,home,rawalpindi,punjab,146947,45,17,7.552,1,1,0,in_review,0
1823,medical,auto,lahore,punjab,79010,61,14,48.3833,1,2,0,approved,0
1824,pet,pet,hyderabad,sindh,13547,58,22,1.195,1,6,0,submitted,0
1825,pet,pet,rawalpindi,punjab,9476,58,20,1.1531,0,5,0,approved,0
1826,pet,pet,karachi,sindh,14379,64,20,0.5904,0,3,1,approved,0
1827,pet_care,pet,lahore,punjab,8585,44,14,0.3613,1,7,0,approved,0
1828,accident,life,rawalpindi,punjab,25503,64,26,3.1497,1,2,0,approved,0
1829,theft,auto,sialkot,punjab,28364,64,8,2.1527,0,4,2,in_review,1
1830,home,home,sialkot,punjab,34208,64,0,7.1685,0,3,0,approved,0
1831,pet,pet,gujranwala,punjab,9299,56,3,0.3892,0,2,1,submitted,0
1832,other,others,hyderabad,sindh,41953,61,13,3.7451,0,6,0,approved,0
1833,accident,auto,hyderabad,sindh,80538,44,1,37.4421,2,4,0,approved,0
1834,accident,auto,lahore,punjab,23715,53,19,0.9787,0,4,1,approved,0
1835,pet_care,pet,peshawar,kpk,28926,58,15,1.8428,2,8,2,rejected,1
1836,pet_care,pet,rawalpindi,punjab,8722,44,12,0.4429,0,2,0,rejected,1
1837,auto,auto,gujranwala,punjab,14845,53,30,0.816,1,6,0,submitted,0
1838,pet,pet,rawalpindi,punjab,14742,64,4,0.6394,2,2,0,in_review,0
1839,damage,auto,sukkur,sindh,78897,53,14,7.3825,2,3,0,submitted,0
1840,life,life,gujranwala,punjab,50938,45,11,2.6879,1,1,0,approved,0
1841,pet,pet,multan,punjab,10977,64,4,6.7717,1,5,1,submitted,0
1842,pet_care,pet,peshawar,kpk,5000,56,7,0.3274,4,7,0,in_review,1
1843,auto,auto,rawalpindi,punjab,22359,53,29,1.3512,0,3,0,rejected,1
1844,other,auto,abbottabad,kpk,5554,44,4,0.2464,1,4,1,approved,0
1845,auto,auto,karachi,sindh,14939,53,4,2.2965,1,1,0,approved,0
1846,damage,home,multan,punjab,43330,61,1,2.5563,0,2,1,approved,0
1847,life,life,abbottabad,kpk,30646,64,14,1.5641,1,1,0,approved,0
1848,home,home,peshawar,kpk,115693,64,21,6.1878,2,7,0,approved,0
1849,theft,auto,hyderabad,sindh,5000,61,11,0.2354,0,6,0,approved,0
1850,life,life,multan,punjab,13211,56,2,0.7062,0,3,0,in_review,0
1851,other,home,abbottabad,kpk,49626,45,25,3.9908,0,4,0,approved,0
1852,theft,home,islamabad,islamabad,27565,61,29,11.6308,0,6,1,submitted,0
1853,accident,life,peshawar,kpk,5791,56,18,0.9945,0,4,2,submitted,1
1854,pet,pet,abbottabad,kpk,13395,53,1,1.1695,1,1,0,approved,0
1855,auto,auto,multan,punjab,19617,58,25,1.5586,0,5,0,submitted,0
1856,medical,life,sialkot,punjab,41871,64,27,3.4072,0,0,0,approved,0
1857,other,others,abbottabad,kpk,24065,44,8,2.7362,0,2,3,rejected,1
1858,theft,auto,faisalabad,punjab,37788,56,24,3.2545,3,8,3,rejected,1
1859,pet,pet,faisalabad,punjab,13587,45,29,1.1205,1,5,0,approved,0
1860,life,life,islamabad,islamabad,226743,61,16,36.8269,0,2,0,submitted,0
1861,accident,auto,islamabad,islamabad,49359,64,9,3.2116,0,1,2,rejected,1
1862,life,life,islamabad,islamabad,28464,56,5,5.2711,1,2,0,approved,0
1863,medical,life,rawalpindi,punjab,116050,44,11,5.7993,1,7,0,approved,0
1864,home,home,sukkur,sindh,46537,61,7,3.6162,1,1,2,rejected,1
1865,auto,auto,mardan,kpk,16489,64,11,1.6754,0,5,0,approved,0
1866,other,home,karachi,sindh,19242,56,30,5.3674,2,2,1,approved,0
1867,theft,auto,faisalabad,punjab,32835,58,8,3.6614,0,0,1,approved,0
1868,life,life,gujranwala,punjab,93079,56,25,39.6756,0,2,0,in_review,0
1869,accident,auto,karachi,sindh,43216,45,5,1.939,1,2,0,approved,0
1870,auto,auto,karachi,sindh,53668,64,25,3.4032,0,6,1,approved,0
1871,medical,auto,peshawar,kpk,58314,58,6,2.8063,4,8,1,rejected,1
1872,accident,auto,hyderabad,sindh,36996,44,20,2.2666,0,3,0,approved,0
1873,medical,life,quetta,balochistan,20532,64,12,1.5815,0,2,0,submitted,0
1874,theft,auto,multan,punjab,32578,64,2,1.857,1,6,0,approved,0
1875,other,auto,abbottabad,kpk,21192,44,27,2.8309,2,4,1,submitted,1
1876,pet,pet,lahore,punjab,15927,53,2,2.1634,2,8,3,submitted,1
1877,pet_care,pet,hyderabad,sindh,11547,45,7,1.8902,0,2,0,approved,0
1878,home,home,gujranwala,punjab,63857,45,2,3.113,0,6,0,approved,0
1879,home,home,faisalabad,punjab,12763,58,7,2.1665,0,3,0,approved,0
1880,pet,pet,sukkur,sindh,31478,44,2,9.8677,0,0,0,approved,0
1881,auto,auto,sukkur,sindh,17307,64,25,1.1524,0,4,0,approved,0
1882,auto,auto,karachi,sindh,53416,64,17,4.6984,0,3,1,approved,0
1883,theft,auto,gujranwala,punjab,26239,64,12,3.5593,0,1,0,approved,0
1884,home,home,mardan,kpk,17300,45,3,8.1681,0,1,0,approved,0
1885,home,home,gujranwala,punjab,80997,45,0,6.7627,4,7,1,in_review,1
1886,pet,pet,rawalpindi,punjab,18087,64,1,3.0419,0,4,0,approved,0
1887,auto,auto,abbottabad,kpk,6360,64,19,2.6478,2,2,2,rejected,1
1888,medical,life,multan,punjab,76411,61,16,8.5233,3,3,3,in_review,1
1889,pet_care,pet,islamabad,islamabad,16314,44,6,1.0883,0,3,0,approved,0
1890,auto,auto,rawalpindi,punjab,32088,44,6,3.1642,0,0,1,approved,0
1891,auto,auto,abbottabad,kpk,19264,53,26,0.8213,0,4,0,approved,0
1892,life,life,sialkot,punjab,223731,64,31,15.1548,1,1,0,rejected,1
1893,damage,auto,quetta,balochistan,69201,61,19,7.231,0,0,0,approved,0
1894,medical,auto,islamabad,islamabad,77929,58,28,3.7907,1,3,2,in_review,1
1895,medical,auto,multan,punjab,80858,61,29,4.0655,0,5,2,submitted,1
1896,medical,life,gujranwala,punjab,396084,58,17,48.6769,3,4,1,rejected,1
1897,life,life,multan,punjab,66098,53,8,3.006,3,5,1,in_review,1
1898,medical,life,karachi,sindh,37914,58,9,7.8692,1,2,0,submitted,0
1899,theft,auto,faisalabad,punjab,90339,45,16,6.8882,0,6,0,approved,0
1900,accident,auto,lahore,punjab,62910,64,12,3.5365,0,1,1,in_review,0
1901,pet_care,pet,islamabad,islamabad,10153,45,6,0.5871,0,0,3,rejected,1
1902,pet_care,pet,karachi,sindh,9201,56,4,1.2224,0,5,0,approved,0
1903,medical,life,hyderabad,sindh,136356,44,25,22.5606,0,3,1,submitted,0
1904,theft,home,rawalpindi,punjab,5000,44,22,0.2218,1,1,0,approved,0
1905,auto,auto,multan,punjab,18447,61,3,1.5037,0,2,1,approved,0
1906,medical,auto,mardan,kpk,29334,53,8,1.419,0,5,0,submitted,0
1907,pet_care,pet,gujranwala,punjab,26866,44,22,8.9763,0,0,2,rejected,1
1908,medical,life,faisalabad,punjab,82259,45,21,8.4576,1,1,1,in_review,0
1909,accident,auto,sukkur,sindh,61717,45,13,3.1,0,4,3,rejected,1
1910,other,others,lahore,punjab,15278,53,27,1.5956,0,5,2,rejected,1
1911,damage,home,multan,punjab,11817,58,22,0.988,1,6,0,in_review,0
1912,theft,home,sukkur,sindh,6962,45,15,0.4965,2,2,2,submitted,1
1913,theft,auto,islamabad,islamabad,12127,45,5,5.971,0,0,0,submitted,0
1914,pet_care,pet,rawalpindi,punjab,22215,58,13,1.2783,2,4,1,approved,0
1915,other,home,multan,punjab,35746,58,29,1.8185,0,0,0,submitted,0
1916,pet_care,pet,multan,punjab,6661,64,28,0.2958,0,1,0,approved,0
1917,auto,auto,abbottabad,kpk,21471,64,8,2.833,0,2,0,submitted,0
1918,theft,home,rawalpindi,punjab,12230,45,25,0.5499,3,6,2,in_review,1
1919,pet,pet,karachi,sindh,13603,53,30,0.9517,4,4,1,in_review,1
1920,home,home,hyderabad,sindh,18600,44,16,1.4421,2,8,3,in_review,1
1921,life,life,karachi,sindh,10673,64,12,0.7238,0,3,1,approved,0
1922,theft,auto,islamabad,islamabad,10878,61,30,0.4745,2,4,0,approved,0
1923,theft,home,lahore,punjab,59350,64,17,2.6483,1,7,1,approved,0
1924,accident,life,karachi,sindh,7222,64,3,1.0286,2,7,0,approved,0
1925,damage,home,sukkur,sindh,12845,64,15,1.9524,2,6,0,approved,0
1926,pet_care,pet,lahore,punjab,13500,45,25,1.2927,0,6,0,approved,0
1927,accident,life,multan,punjab,46696,64,29,3.9102,1,4,0,in_review,0
1928,home,home,sukkur,sindh,47522,64,7,16.7272,0,4,0,submitted,1
1929,theft,auto,islamabad,islamabad,42332,64,2,1.7042,2,3,2,submitted,1
1930,pet_care,pet,hyderabad,sindh,10058,56,23,0.5104,1,2,0,approved,0
1931,other,auto,lahore,punjab,11445,64,29,0.8099,1,2,0,approved,0
1932,damage,home,multan,punjab,138681,44,14,5.9911,3,4,3,in_review,1
1933,home,home,sukkur,sindh,100387,64,9,8.304,0,2,0,approved,0
1934,auto,auto,peshawar,kpk,12433,56,28,0.5552,0,6,0,rejected,1
1935,accident,life,sialkot,punjab,27787,44,24,1.8192,0,0,0,approved,0
1936,theft,home,karachi,sindh,20436,64,28,0.8788,0,1,0,approved,0
1937,auto,auto,abbottabad,kpk,48771,58,9,2.2598,1,4,1,submitted,0
1938,accident,life,abbottabad,kpk,20155,56,8,2.6749,0,4,0,rejected,1
1939,damage,auto,faisalabad,punjab,20817,64,17,1.6861,0,2,1,approved,0
1940,damage,auto,peshawar,kpk,20097,53,24,1.4445,0,1,0,approved,0
1941,home,home,multan,punjab,20720,56,25,4.9275,0,1,0,in_review,1
1942,other,pet,karachi,sindh,29064,58,3,3.8634,0,1,0,approved,0
1943,theft,auto,hyderabad,sindh,5000,56,18,0.2598,2,5,1,in_review,0
1944,accident,life,multan,punjab,155427,45,6,27.5824,2,6,0,rejected,1
1945,home,home,rawalpindi,punjab,41720,53,7,6.4632,0,4,0,approved,0
1946,accident,auto,lahore,punjab,41535,56,12,1.832,0,2,0,approved,0
1947,life,life,sukkur,sindh,33029,58,0,2.4334,1,5,1,approved,0
1948,home,home,rawalpindi,punjab,13504,58,20,1.4713,0,6,0,rejected,1
1949,pet_care,pet,mardan,kpk,23802,45,25,2.1767,1,7,0,approved,0
1950,theft,home,abbottabad,kpk,60370,61,13,3.706,0,2,0,submitted,0
1951,auto,auto,rawalpindi,punjab,40364,64,2,17.0456,0,0,0,in_review,1
1952,accident,auto,rawalpindi,punjab,27967,58,29,2.9263,0,5,1,approved,0
1953,medical,life,rawalpindi,punjab,74898,56,11,9.3611,0,1,0,submitted,0
1954,pet,pet,karachi,sindh,8435,53,9,0.9662,0,0,2,in_review,1
1955,medical,life,islamabad,islamabad,75980,44,4,8.0215,0,4,0,approved,0
1956,other,auto,rawalpindi,punjab,51393,45,8,2.9902,0,4,0,approved,0
1957,other,home,sialkot,punjab,28749,64,12,3.4262,0,3,0,approved,0
1958,medical,auto,faisalabad,punjab,5000,64,10,0.8021,0,6,2,in_review,1
1959,auto,auto,quetta,balochistan,16067,61,9,1.1359,0,2,1,submitted,0
1960,theft,home,gujranwala,punjab,23554,61,30,1.5884,1,5,0,in_review,0
1961,theft,home,islamabad,islamabad,5860,58,4,0.2491,2,7,1,approved,0
1962,home,home,peshawar,kpk,42476,44,21,2.6639,2,2,0,approved,0
1963,home,home,rawalpindi,punjab,65681,58,15,10.3794,1,7,0,approved,0
1964,accident,life,sialkot,punjab,50768,56,28,2.877,0,6,0,approved,0
1965,accident,auto,multan,punjab,35061,58,9,1.5384,1,7,2,rejected,1
1966,medical,life,hyderabad,sindh,82690,44,1,3.6527,0,5,2,in_review,1
1967,life,life,karachi,sindh,49303,61,4,6.1946,0,0,0,submitted,0
1968,damage,home,islamabad,islamabad,25583,56,8,8.2393,0,2,1,approved,0
1969,medical,auto,islamabad,islamabad,83973,56,30,5.1549,3,8,2,in_review,1
1970,theft,home,karachi,sindh,75021,44,8,42.0286,2,6,0,approved,0
1971,auto,auto,peshawar,kpk,42297,56,6,1.6963,0,2,1,approved,0
1972,medical,auto,lahore,punjab,37755,64,11,1.6487,0,0,0,approved,0
1973,accident,life,gujranwala,punjab,13715,53,8,0.6121,0,3,0,approved,0
1974,medical,auto,multan,punjab,68267,53,16,3.6665,0,3,0,approved,0
1975,other,home,faisalabad,punjab,22855,58,9,1.5532,0,6,1,approved,0
1976,other,home,rawalpindi,punjab,81390,53,12,4.8859,0,0,0,approved,0
1977,auto,auto,quetta,balochistan,31438,61,26,1.7038,0,4,1,approved,0
1978,damage,auto,faisalabad,punjab,51560,53,17,3.0129,0,2,0,approved,0
1979,auto,auto,hyderabad,sindh,13810,53,11,0.5609,4,8,2,rejected,1
1980,pet_care,pet,karachi,sindh,14710,58,28,1.0066,0,0,0,submitted,0
1981,auto,auto,sukkur,sindh,31534,53,26,1.8135,0,6,0,in_review,0
1982,life,life,hyderabad,sindh,46194,53,20,3.2783,0,0,0,submitted,0
1983,damage,auto,rawalpindi,punjab,18890,53,3,1.0228,0,4,0,in_review,0
1984,pet,pet,rawalpindi,punjab,20126,56,7,11.4287,3,9,2,in_review,1
1985,theft,home,quetta,balochistan,11563,58,22,0.6451,1,4,0,approved,0
1986,life,life,rawalpindi,punjab,117973,44,9,30.265,0,5,3,in_review,1
1987,life,life,faisalabad,punjab,119896,45,15,5.5039,0,5,0,approved,0
1988,life,life,gujranwala,punjab,112648,53,12,39.7628,0,6,0,in_review,1
1989,damage,home,islamabad,islamabad,13714,58,6,1.2787,1,6,0,approved,0
1990,pet_care,pet,peshawar,kpk,18271,61,7,0.7443,0,0,0,approved,0
1991,theft,auto,lahore,punjab,15966,56,1,0.6515,0,4,0,approved,0
1992,life,life,peshawar,kpk,29446,53,16,1.792,0,0,0,approved,0
1993,life,life,islamabad,islamabad,217515,53,14,22.2818,2,2,2,submitted,1
1994,life,life,islamabad,islamabad,47243,56,24,2.0504,0,4,0,approved,0
1995,damage,auto,abbottabad,kpk,18035,56,1,3.1579,0,3,0,approved,0
1996,auto,auto,sialkot,punjab,34311,44,10,7.946,0,1,0,in_review,0
1997,medical,life,abbottabad,kpk,33552,53,20,1.3803,0,5,1,submitted,0
1998,theft,home,lahore,punjab,23742,53,19,8.6808,0,3,0,submitted,0
1999,pet_care,pet,rawalpindi,punjab,5000,56,30,0.2665,1,1,0,in_review,0
2000,medical,auto,karachi,sindh,38125,64,20,2.4731,0,6,0,approved,0
2001,auto,auto,sialkot,punjab,17379,44,22,0.8584,1,7,0,submitted,0
2002,theft,home,lahore,punjab,48250,61,0,3.7313,0,1,0,approved,0
2003,damage,home,sukkur,sindh,10350,58,7,0.5011,4,9,3,in_review,1
2004,theft,auto,quetta,balochistan,12799,58,3,0.7348,0,6,2,rejected,1
2005,medical,auto,multan,punjab,113027,64,21,7.213,0,5,0,submitted,0
2006,damage,auto,karachi,sindh,28423,61,13,3.9853,0,6,0,in_review,1
2007,medical,auto,abbottabad,kpk,18811,64,26,1.2963,0,4,2,submitted,1
2008,pet,pet,hyderabad,sindh,12205,45,10,1.1046,0,2,0,approved,0
2009,home,home,karachi,sindh,94179,64,23,8.4006,0,0,2,rejected,1
2010,life,life,quetta,balochistan,32244,45,6,2.271,3,4,2,rejected,1
2011,auto,auto,quetta,balochistan,28967,45,20,6.379,2,4,1,submitted,1
2012,home,home,lahore,punjab,19307,56,22,0.9075,0,3,0,approved,0
2013,life,life,abbottabad,kpk,167339,53,18,18.3245,0,0,1,approved,0
2014,theft,auto,islamabad,islamabad,7091,64,18,0.3223,0,5,0,approved,0
2015,medical,life,karachi,sindh,32635,64,17,1.5311,0,0,0,approved,0
2016,accident,auto,quetta,balochistan,41666,58,8,4.136,0,3,2,rejected,1
2017,accident,life,hyderabad,sindh,6861,44,8,0.2844,0,5,3,rejected,1
2018,life,life,lahore,punjab,68693,64,6,4.9189,1,3,2,rejected,1
2019,theft,auto,karachi,sindh,14341,61,17,0.6243,0,6,0,submitted,0
2020,pet,pet,quetta,balochistan,16992,64,21,1.5143,1,4,0,submitted,0
2021,medical,auto,karachi,sindh,56147,58,0,4.9595,0,4,0,in_review,0
2022,pet_care,pet,rawalpindi,punjab,7179,53,17,0.3147,1,6,0,in_review,0
2023,auto,auto,islamabad,islamabad,39635,64,25,2.0807,0,5,0,approved,0
2024,life,life,mardan,kpk,73854,58,1,41.7726,0,5,0,in_review,0
2025,home,home,abbottabad,kpk,11062,64,10,0.8631,0,0,0,approved,0
2026,pet_care,pet,lahore,punjab,5417,53,9,0.2349,0,0,0,approved,0
2027,medical,life,quetta,balochistan,164352,53,10,9.3361,0,5,1,approved,0
2028,home,home,gujranwala,punjab,30428,44,14,4.3674,0,3,1,approved,0
2029,home,home,mardan,kpk,38878,53,16,12.2489,1,6,0,in_review,0
2030,pet_care,pet,lahore,punjab,31726,53,18,1.491,0,0,0,approved,0
2031,home,home,quetta,balochistan,17194,61,1,0.7188,0,1,0,approved,0
2032,medical,auto,gujranwala,punjab,270343,58,31,19.1407,0,3,1,in_review,1
2033,auto,auto,faisalabad,punjab,19335,58,25,2.6873,0,0,0,approved,0
2034,medical,life,peshawar,kpk,8031,64,7,0.5136,3,6,2,rejected,1
2035,accident,life,mardan,kpk,73056,56,29,3.3713,2,7,1,approved,0
2036,theft,home,quetta,balochistan,11903,64,24,1.3914,0,2,1,approved,0
2037,damage,home,rawalpindi,punjab,29592,64,9,2.1757,0,5,0,submitted,0
2038,theft,home,gujranwala,punjab,15075,61,14,2.5805,0,4,0,approved,0
2039,other,home,mardan,kpk,28186,53,2,2.5987,1,2,0,approved,0
2040,theft,home,abbottabad,kpk,84634,58,18,3.6953,0,5,0,approved,0
2041,other,home,abbottabad,kpk,28726,64,25,1.7073,2,5,0,approved,0
2042,auto,auto,abbottabad,kpk,27046,56,19,1.2503,0,4,0,submitted,0
2043,home,home,multan,punjab,28017,64,3,1.1791,0,4,0,approved,0
2044,pet_care,pet,islamabad,islamabad,64935,64,2,3.0933,2,2,0,approved,0
2045,damage,home,rawalpindi,punjab,10175,58,7,0.4488,1,1,2,rejected,1
2046,home,home,rawalpindi,punjab,23236,61,24,1.1076,0,5,1,approved,0
2047,medical,auto,karachi,sindh,135129,45,9,5.6445,0,5,0,approved,0
2048,theft,home,faisalabad,punjab,75888,56,14,8.0042,0,6,1,approved,0
2049,auto,auto,faisalabad,punjab,20591,53,3,1.0628,0,4,0,approved,0
2050,pet,pet,abbottabad,kpk,36228,45,16,9.0209,1,6,0,approved,0
2051,pet,pet,abbottabad,kpk,10627,64,12,0.4341,0,4,0,approved,0
2052,life,life,lahore,punjab,14752,64,24,5.0869,3,3,2,rejected,1
2053,home,home,quetta,balochistan,169627,45,10,7.3953,0,3,0,submitted,0
2054,other,home,peshawar,kpk,42711,64,8,4.1968,0,3,0,approved,0
2055,theft,home,hyderabad,sindh,17982,45,14,1.1589,1,6,0,approved,0
2056,auto,auto,peshawar,kpk,23443,61,12,1.7879,3,6,2,rejected,1
2057,life,life,hyderabad,sindh,70243,64,26,14.8662,0,1,0,submitted,0
2058,pet_care,pet,faisalabad,punjab,8337,56,12,0.7318,0,1,1,submitted,1
2059,theft,home,quetta,balochistan,15749,56,9,0.9558,1,1,0,approved,0
2060,other,pet,sukkur,sindh,12563,61,17,0.8205,1,4,2,in_review,1
2061,medical,life,lahore,punjab,61335,53,19,5.776,0,1,0,rejected,1
2062,damage,home,quetta,balochistan,31761,64,29,1.2877,0,4,0,submitted,1
2063,accident,life,mardan,kpk,31793,56,16,1.3266,0,0,0,rejected,1
2064,life,life,abbottabad,kpk,178364,58,21,54.8812,0,5,1,approved,0
2065,other,pet,gujranwala,punjab,35231,64,1,1.7137,0,6,0,approved,0
2066,pet,pet,quetta,balochistan,23853,45,23,1.9081,1,5,0,submitted,0
2067,accident,life,faisalabad,punjab,5000,64,27,0.2835,0,1,0,submitted,0
2068,damage,auto,sialkot,punjab,22342,61,27,1.7124,0,4,0,approved,0
2069,pet,pet,faisalabad,punjab,17028,64,27,0.8385,0,1,0,approved,0
2070,accident,life,faisalabad,punjab,78372,56,25,5.0697,0,1,1,approved,0
2071,theft,home,faisalabad,punjab,25619,64,8,1.5153,1,1,0,approved,0
2072,life,life,peshawar,kpk,114422,64,24,8.6644,0,2,0,submitted,0
2073,medical,life,rawalpindi,punjab,16576,64,4,0.9588,1,3,0,approved,0
2074,other,auto,sialkot,punjab,55753,61,15,2.8197,2,2,2,in_review,1
2075,auto,auto,faisalabad,punjab,28732,44,19,1.1818,0,0,1,approved,0
2076,home,home,faisalabad,punjab,17702,53,19,1.5018,0,6,1,approved,0
2077,home,home,abbottabad,kpk,26703,58,11,1.2876,0,2,2,in_review,0
2078,other,others,islamabad,islamabad,39351,53,20,5.4195,0,6,2,rejected,1
2079,theft,home,multan,punjab,9362,64,14,0.4281,0,1,0,submitted,0
2080,accident,auto,gujranwala,punjab,51398,44,23,8.7935,0,4,0,submitted,0
2081,accident,life,abbottabad,kpk,17503,44,10,1.8332,2,2,2,in_review,1
2082,pet_care,pet,rawalpindi,punjab,23159,44,27,2.0648,0,5,0,approved,0
2083,home,home,mardan,kpk,22550,45,22,1.0641,0,5,0,in_review,0
2084,auto,auto,lahore,punjab,44730,58,9,2.0731,0,4,0,submitted,0
2085,life,life,sialkot,punjab,111607,64,26,9.5456,4,9,2,in_review,0
2086,damage,auto,islamabad,islamabad,88370,64,2,22.1312,1,3,0,approved,0
2087,other,others,rawalpindi,punjab,28309,61,15,10.6665,1,4,0,approved,0
2088,damage,home,peshawar,kpk,11050,44,2,0.8587,0,0,0,submitted,0
2089,other,home,islamabad,islamabad,177962,56,9,8.144,0,5,1,approved,0
2090,damage,home,gujranwala,punjab,40921,53,7,2.7394,0,3,0,submitted,0
2091,auto,auto,peshawar,kpk,47340,64,24,4.8129,2,3,0,approved,0
2092,other,auto,sukkur,sindh,14198,64,6,1.1538,2,2,1,in_review,0
2093,pet,pet,peshawar,kpk,6965,61,28,0.6689,0,1,0,submitted,0
2094,auto,auto,lahore,punjab,20826,53,16,2.088,0,6,0,approved,0
2095,pet,pet,multan,punjab,13229,61,12,1.2595,0,4,0,approved,0
2096,auto,auto,hyderabad,sindh,88156,61,27,3.6062,1,1,1,in_review,0
2097,theft,home,quetta,balochistan,32487,58,30,3.8037,0,3,0,approved,0
2098,home,home,abbottabad,kpk,32354,61,3,2.5682,0,2,0,approved,0
2099,medical,auto,mardan,kpk,170630,61,28,20.5628,1,3,0,in_review,0
2100,home,home,abbottabad,kpk,72700,53,22,5.8249,0,2,0,submitted,0
2101,pet_care,pet,quetta,balochistan,10530,56,22,0.5296,2,8,0,approved,0
2102,damage,auto,lahore,punjab,70923,58,27,2.9721,0,1,1,approved,0
2103,theft,auto,quetta,balochistan,18683,61,7,1.9319,2,8,0,approved,0
2104,home,home,lahore,punjab,72177,61,18,16.8993,1,1,3,rejected,1
2105,pet_care,pet,rawalpindi,punjab,11877,58,12,0.4808,0,1,0,approved,0
2106,medical,auto,multan,punjab,35562,44,20,3.6236,0,6,0,submitted,0
2107,medical,life,sukkur,sindh,74365,64,7,19.2805,0,3,0,submitted,0
2108,accident,life,multan,punjab,60524,64,27,10.8778,0,3,0,approved,0
2109,medical,auto,hyderabad,sindh,40100,58,19,2.0956,2,4,2,submitted,1
